Part code,ชื่อวัสดุ,หน่วยนับ,จำนวนขั้นต่ำ,ประเภทสินค้า,กลุ่ม/หมวดหมู่สินค้า,cost center,work center,account code,activity code,Images,ราคาวัสดุ(AVG COST),หน่วยนับ(ย่อย),2 หน่วยนับ,ตัวคำนวน,,
BIF81100110,กระจกดำหน้ากากเชื่อม เบอร์ 10,PCS,10,Consumable,Safety,811,680,62405,,,,,FALSE,,,
BOF80900001,ค่าใช้พื้นที่,Month,,Expense,ค่าใช้จ่าย,809,697,62101,,,,,FALSE,,,
BIF81100111,กระจกดำหน้ากากเชื่อม เบอร์ 11,PCS,24,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100113,"89091 DIES BSW LEFT 1"" ALLOY W8",Set,1,Consumable,Spare part,811,680,,,,,,FALSE,,,
BIF81100114,"89089 DIES BSW LEFT 3/4"" ALLOY W10",Set,1,Consumable,Spare part,811,680,,,,,,FALSE,,,
BIF81100115,"89088 DIES BSW LEFT 5/8"" ALLOY W11",Set,1,Consumable,Spare part,811,680,,,,,,FALSE,,,
BIF81100116,ค่าซ่อมแซมและบำรุงรักษายานพาหนะ,JOB,,Expense,,,,,,,,,FALSE,,,
BIF81100117,น้ำยาหล่อเย็น (แกลลอน 5 ลิตร),GALLON,3,Consumable,Spare part,811,680,,,,,,FALSE,,,
BIF81100118,น้ำมันไฮดรอลิค HLP AW68 (ถังละ 18 ลิตร),EA,1,Consumable,Spare part,811,680,,,,,,FALSE,,,
BIF81100119,น้ำมันต๊าปเกลียว (แกลลอน 5 ลิตร),GALLON,3,Consumable,Spare part,811,680,,,,,,FALSE,,,
BIF81100120,เกจปรับแรงดันแก๊ส CO2 พร้อมฮีทเตอร์,EA,1,Consumable,Spare part,811,680,,,,,,FALSE,,,
BIF81100121,"เครื่องเจียรไฟฟ้า 4 นิ้ว Makita 9553NB,9553BX",EA,2,Consumable,อุปกรณ์งาน เจียร์,811,680,,,,,,FALSE,,,
BIF81100122,ช็อคเขียนเหล็ก(25แท่ง/กล่อง),Box,2,Consumable,อุปกรณ์งานประกอบ,811,680,,,,,,FALSE,,,
BIF81100123,"Retaining Cap, PMX125 [HT] (420156)",PCS,12,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100124,Contact Tip PANA 1.2,EA,12,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100125,หินเจียรไนคอตรง,EA,12,Consumable,อุปกรณ์งาน เจียร์,811,680,,,,,,FALSE,,,
BIF81100127,โฟมรองชิ้นงาน หนา 3mm.,ROL,2,Consumable,อุปกรณ์งาน Load,811,680,,,,,,FALSE,,,
BIF81100128,โฟมรองชิ้นงาน หนา 5mm.,ROL,2,Consumable,อุปกรณ์งาน Load,811,680,,,,,,FALSE,,,
BIF81100129,ลวดเชื่อมไฟฟ้า LB 2.6 มม,EA,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100130,เทปกาวสีน้ำตาล กว้าง 2นิ้ว,EA,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100131,Tip Body Pana 350 A,EA,5,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100132,Repair & Maintenance Mechanical,JOB,,Service,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100133,ลวดเชื่อม Mix 0.9,EA,5,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100134,ใบตัดบาง 4 นิ้ว (50 ใบ),Box,10,Consumable,อุปกรณ์งานตัด,811,680,,,,450,PCS,TRUE,50,,
BIF81100135,ช็อคเขียนเหล็ก(25แท่ง/กล่อง),Box,2,Consumable,อุปกรณ์งานตัด,811,680,,,,650,PCS,TRUE,25,,
BIF81100136,Tuffer ตัวขัดสนิม,PCS,4,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100137,CONTACTTIP 0.9,PCS,5,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100138,ใบเจียรหนา 5 นิ้ว (25ใบ),EA,5,Consumable,อุปกรณ์งาน เจียร์,811,680,,,,,,FALSE,,,
BIF81100139,ใบตัดบาง 7 นิ้ว (25 ใบ),EA,5,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100140,ใบตัดFibar 16 นิ้ว,EA,10,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100141,Swirl Ring 220997,PCS,3,Consumable,อุปกรณ์งานตัด,811,680,,,,1320,,FALSE,,,
BIF81100142,เข็มขัดรัดสายยาง,PCS,2,Consumable,Spare part,811,680,,,,10,,FALSE,,,
BIF81100143,ต่อตรงสวมสายยาง 1/2,PCS,2,Consumable,Spare part,811,680,,,,40,,FALSE,,,
BIF81100144,ลวดเชื่อม L-55 2.6 mm.,EA,10,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,207.94,,FALSE,,,
BIF81100146,Shield (220976),PCS,10,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100148,สวิทกดติดปล่อยดับกลมใหญ่,PCS,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,20,,FALSE,,,
BIF81100149,แผ่นกรอง 3 M,PCS,5,Consumable,Safety,811,680,,,,,,FALSE,,,
BIF81100152,น้ำมัันไฮดรอลิค HLP AW46 (ถังละ18ลิตร),EA,3,Consumable,Spare part,811,680,,,,1750,,FALSE,,,
BIF81100153,หน้ากากใส สำหรับเจียร กันสะเก็ด,EA,5,Consumable,Safety,811,680,,,,250,,FALSE,,,
BIF81100154,ถ่าน AA,EA,3,Consumable,Spare part,811,680,,,,,,FALSE,,,
BIF81100155,น้ำยาอเนกประสงค์ WD-40,CN,1,Consumable,อุปกรณ์ไฟฟ้า,811,680,,,,,,FALSE,,,
BIF81100156,ผงเต้าตีเส้น,EA,2,Consumable,อุปกรณ์งาน Load,811,680,,,,,,FALSE,,,
BIF81100157,เต๊าตีเส้น Pumkin,EA,1,Consumable,อุปกรณ์งานประกอบ,811,680,,,,,,FALSE,,,
BIF81100158,ซองใส 11 รู,EA,1,Consumable,Office supply (อุปกรณ์สำนักงาน),811,680,,,,,,FALSE,,,
BIF81100159,ถุงมือกันสารเคมี size ใหญ่,EA,2,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100160,น้ำยาจุ่มหัวเชื่อม,EA,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100161,CUTTING NOZZLE No.3,EA,2,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100162,CUTTING NOZZLE No.2,EA,2,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100163,เหล็กพืด 19มม.แพ็คงาน,EA,2,Consumable,อุปกรณ์งาน Pack,811,680,,,,,,FALSE,,,
BIF81100164,กิ๊บรัดเหล็กพืดแพ็คงาน 19 มม.,PAK,2,Consumable,อุปกรณ์งาน Pack,811,680,,,,,,FALSE,,,
BIF81100165,น้ำมันไฮดรอลิค ออยล์ (M) เบอร์ 46 ,EA,2,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100166,ลวดอ่อนมัดแท็ค (kg.),EA,2,Consumable,อุปกรณ์งานประกอบ,811,680,,,,,,FALSE,,,
BIF81100167,ลวดเชื่อมซับเมิร์ค 4 mm.,EA,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100168,Contact Tip4.0 mm.,EA,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100169,เข็มขัดยกของ 5 ตัน ยาว 6 เมตร กว้าง 150มม.สีแดง,EA,2,Service,อุปกรณ์งาน Load,811,680,,,,,,FALSE,,,
BIF81100170,เข็มขัดยกของ 4 ตัน ยาว 6 เมตร กว้าง 120มม.สีเทา,EA,2,Service,อุปกรณ์งาน Load,811,680,,,,,,FALSE,,,
BIF81100171,เข็มขัดยกของ 3 ตัน ยาว 4 เมตร กว้าง 90มม.สีเหลือง,EA,2,Service,อุปกรณ์งาน Load,811,680,,,,,,FALSE,,,
BIF81100172,แว่นตานิรภัย สีดำ,EA,2,Service,Safety,811,680,,,,,,FALSE,,,
BIF81100173,แว่นตานิรภัย สีใส,EA,2,Service,Safety,811,680,,,,,,FALSE,,,
BIF81100174,ผงซักฟอก,EA,2,Consumable,Office supply (อุปกรณ์สำนักงาน),811,680,,,,,,FALSE,,,
BIF81100175,ปากกาเคมี 2หัว,EA,5,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,,,,,,FALSE,,,
BIF81100176,หน้ากากเชื่อม,EA,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100177,จานทรายซ้อนหลังแข็ง เบอร์ 80,Box,2,Consumable,อุปกรณ์งาน เจียร์,811,680,,,,,,FALSE,,,
BIF81100178,แก๊สดิฟฟูเซอร์ 350 Amp.,EA,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100179,จานทรายซ้อนหลังอ่อน เบอร์ 40,Box,2,Consumable,อุปกรณ์งาน เจียร์,811,680,,,,,,FALSE,,,
BIF81100180,ใบขัดกระดาษทราย 4 นิ้ว,Box,2,Consumable,อุปกรณ์งาน เจียร์,811,680,,,,,,FALSE,,,
BIF81100181,swan neck pana 350 amp.อะไหล่ปืนเชื่อมดกลียวใน,EA,2,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100182,ช็อคฝุ่น (คละสี),Box,2,Consumable,อุปกรณ์งานตรวจสอบ,811,680,,,,,,FALSE,,,
BIF81100183,สีโป้วไฟเบอร์กลาส,EA,2,Consumable,อุปกรณ์งานสี,811,680,,,,,,FALSE,,,
BIF81100184,ถุงมือเคลือบยางสีส้ม,EA,5,Consumable,Safety,811,680,,,,,,FALSE,,,
BIF81100185,ถุงมือยางดำ,Box,5,Consumable,Safety,811,680,,,,,,FALSE,,,
BIF81100186,กระดาษทราย เบอร์ 100,pcs,10,Consumable,อุปกรณ์งานสี,811,680,,,,,,FALSE,,,
BIF81100187,สายเอ็นอเนกประสงค์ เบอร์ 80,EA,2,Consumable,อุปกรณ์งานตรวจสอบ,811,680,,,,,,FALSE,,,
BIF81100188,ลวดเชื่อม Mix 1.2,EA,5,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100189,ลวดเชื่อมซับเมิร์ค 3.2 mm.,EA,10,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100190,นมหนูตัดแก๊ส LPG เบอร์ 3,EA,3,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100191,นมหนูตัดแก๊ส LPG เบอร์ 2,EA,3,Consumable,อุปกรณ์งานตัด,811,680,,,,,,FALSE,,,
BIF81100192,สเปรย์ตรวจเช็ครอยเชื่อม สีฟ้า,EA,3,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100193,สเปรย์ตรวจเช็ครอยเชื่อม สีแดง,EA,3,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
BIF81100194,สเปรย์ตรวจเช็ครอยเชื่อม สีขาว,EA,3,Consumable,อุปกรณ์งานเชื่อม,811,680,,,,,,FALSE,,,
